gene_name,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
Csnk1d,Q9DC28,KC1D_MOUSE,reviewed,Casein kinase I isoform delta (CKI-delta) (CKId) (EC 2.7.11.1) (Tau-protein kinase CSNK1D) (EC 2.7.11.26),Csnk1d Hckid,Mus musculus (Mouse),415
Sectm1b,Q9JL59,SCT1B_MOUSE,reviewed,Secreted and transmembrane protein 1b (Protein K-12),Sectm1b K12 Sectm1,Mus musculus (Mouse),212
Apob,E9Q414,APOB_MOUSE,reviewed,Apolipoprotein B-100 (Apo B-100) [Cleaved into: Apolipoprotein B-48 (Apo B-48)],Apob,Mus musculus (Mouse),4505
Pum2,Q80U58,PUM2_MOUSE,reviewed,Pumilio homolog 2,Pum2 Kiaa0235,Mus musculus (Mouse),1066
Sdc1,P18828,SDC1_MOUSE,reviewed,Syndecan-1 (SYND1) (CD antigen CD138),Sdc1 Synd-1 Synd1,Mus musculus (Mouse),311
Laptm4a,Q60961,LAP4A_MOUSE,reviewed,Lysosomal-associated transmembrane protein 4A (Golgi 4-transmembrane-spanning transporter) (Mouse transporter protein) (MTP),Laptm4a Mtrp,Mus musculus (Mouse),233
Rock2,P70336,ROCK2_MOUSE,reviewed,"Rho-associated protein kinase 2 (EC 2.7.11.1) (Rho-associated, coiled-coil-containing protein kinase 2) (Rho-associated, coiled-coil-containing protein kinase II) (ROCK-II) (p164 ROCK-2)",Rock2,Mus musculus (Mouse),1388
Odc1,P00860,DCOR_MOUSE,reviewed,Ornithine decarboxylase (ODC) (EC 4.1.1.17),Odc1 Odc,Mus musculus (Mouse),461
Hpcal1,P62748,HPCL1_MOUSE,reviewed,Hippocalcin-like protein 1 (Neural visinin-like protein 3) (NVL-3) (NVP-3) (Visinin-like protein 3) (VILIP-3),Hpcal1,Mus musculus (Mouse),193
Tssc1,Q8K0G5,EIPR1_MOUSE,reviewed,EARP and GARP complex-interacting protein 1 (Endosome-associated recycling protein-interacting protein) (Golgi-associated retrograde protein-interacting protein) (Tumor-suppressing STF cDNA 1 protein) (Tumor-suppressing subchromosomal transferable fragment candidate gene 1 protein),Eipr1 Tssc1,Mus musculus (Mouse),386
Slc26a3,Q9WVC8,S26A3_MOUSE,reviewed,Chloride anion exchanger (Down-regulated in adenoma) (Protein DRA) (Solute carrier family 26 member 3),Slc26a3 Dra,Mus musculus (Mouse),757
Sypl,O09117,SYPL1_MOUSE,reviewed,Synaptophysin-like protein 1 (Pantophysin),Sypl1 Pphn Sypl,Mus musculus (Mouse),261
Agr2,O88312,AGR2_MOUSE,reviewed,Anterior gradient protein 2 homolog (AG-2) (mAG-2) (Protein Gob-4) (Secreted cement gland protein XAG-2 homolog),Agr2 Gob4,Mus musculus (Mouse),175
Pnpla8,Q8K1N1,PLPL8_MOUSE,reviewed,Calcium-independent phospholipase A2-gamma (EC 3.1.1.5) (Intracellular membrane-associated calcium-independent phospholipase A2 gamma) (iPLA2-gamma) (Patatin-like phospholipase domain-containing protein 8),Pnpla8 Ipla22 Ipla2g,Mus musculus (Mouse),776
Pnn,O35691,PININ_MOUSE,reviewed,Pinin,Pnn,Mus musculus (Mouse),725
Arf6,P62331,ARF6_MOUSE,reviewed,ADP-ribosylation factor 6,Arf6,Mus musculus (Mouse),175
Daam1,Q8BPM0,DAAM1_MOUSE,reviewed,Disheveled-associated activator of morphogenesis 1,Daam1,Mus musculus (Mouse),1077
Syne2,Q6ZWQ0,SYNE2_MOUSE,reviewed,Nesprin-2 (KASH domain-containing protein 2) (KASH2) (Nuclear envelope spectrin repeat protein 2) (Nucleus and actin connecting element protein) (Protein NUANCE) (Synaptic nuclear envelope protein 2) (Syne-2),Syne2,Mus musculus (Mouse),6874
Plekhh1,Q80TI1,PKHH1_MOUSE,reviewed,Pleckstrin homology domain-containing family H member 1 (PH domain-containing family H member 1),Plekhh1 Kiaa1200,Mus musculus (Mouse),1356
Susd6,Q8BGE4,SUSD6_MOUSE,reviewed,Sushi domain-containing protein 6 (Drago),Susd6 Kiaa0247,Mus musculus (Mouse),302
Srsf5,O35326,SRSF5_MOUSE,reviewed,"Serine/arginine-rich splicing factor 5 (Delayed-early protein HRS) (Pre-mRNA-splicing factor SRP40) (Splicing factor, arginine/serine-rich 5)",Srsf5 Hrs Sfrs5,Mus musculus (Mouse),269
Ylpm1,Q9R0I7,YLPM1_MOUSE,reviewed,YLP motif-containing protein 1 (Nuclear protein ZAP3),Ylpm1 Zap Zap3,Mus musculus (Mouse),1386
Fos,P01101,FOS_MOUSE,reviewed,Proto-oncogene c-Fos (Cellular oncogene fos),Fos,Mus musculus (Mouse),380
Cipc,Q8R0W1,CIPC_MOUSE,reviewed,CLOCK-interacting pacemaker (CLOCK-interacting circadian protein),Cipc Kiaa1737,Mus musculus (Mouse),432
Calm1,P0DP26,CALM1_MOUSE,reviewed,Calmodulin-1,Calm1 Calm Cam Cam1,Mus musculus (Mouse),149
Papola,Q61183,PAPOA_MOUSE,reviewed,Poly(A) polymerase alpha (PAP-alpha) (EC 2.7.7.19) (Polynucleotide adenylyltransferase),Papola Pap Plap,Mus musculus (Mouse),739
Dync1h1,Q9JHU4,DYHC1_MOUSE,reviewed,"Cytoplasmic dynein 1 heavy chain 1 (Cytoplasmic dynein heavy chain 1) (Dynein heavy chain, cytosolic)",Dync1h1 Dhc1 Dnch1 Dnchc1 Dyhc,Mus musculus (Mouse),4644
Rcor1,Q8CFE3,RCOR1_MOUSE,reviewed,REST corepressor 1 (Protein CoREST),Rcor1 D12Wsu95e Kiaa0071,Mus musculus (Mouse),480
Cep170b,Q80U49,C170B_MOUSE,reviewed,Centrosomal protein of 170 kDa protein B (Centrosomal protein 170B) (Cep170B),Cep170b Kiaa0284,Mus musculus (Mouse),1574
Crip1,P63254,CRIP1_MOUSE,reviewed,Cysteine-rich protein 1 (CRP-1) (Cysteine-rich intestinal protein) (CRIP),Crip1 Crip,Mus musculus (Mouse),77
Esyt2,Q3TZZ7,ESYT2_MOUSE,reviewed,Extended synaptotagmin-2 (E-Syt2),Esyt2 D12Ertd551e Fam62b,Mus musculus (Mouse),845
Rab10,P61027,RAB10_MOUSE,reviewed,Ras-related protein Rab-10,Rab10,Mus musculus (Mouse),200
Rhob,P62746,RHOB_MOUSE,reviewed,Rho-related GTP-binding protein RhoB,Rhob Arhb,Mus musculus (Mouse),196
Adam17,Q9Z0F8,ADA17_MOUSE,reviewed,Disintegrin and metalloproteinase domain-containing protein 17 (ADAM 17) (EC 3.4.24.86) (TNF-alpha convertase) (TNF-alpha-converting enzyme) (CD antigen CD156b),Adam17 Tace,Mus musculus (Mouse),827
Rsad2,Q8CBB9,RSAD2_MOUSE,reviewed,"Radical S-adenosyl methionine domain-containing protein 2 (Viperin) (Virus inhibitory protein, endoplasmic reticulum-associated, interferon-inducible)",Rsad2 Vig1,Mus musculus (Mouse),362
Hbp1,Q8R316,HBP1_MOUSE,reviewed,HMG box-containing protein 1 (HMG box transcription factor 1) (High mobility group box transcription factor 1),Hbp1,Mus musculus (Mouse),516
Hbp1,Q9D1N2,HDBP1_MOUSE,reviewed,Glycosylphosphatidylinositol-anchored high density lipoprotein-binding protein 1 (GPI-HBP1) (GPI-anchored HDL-binding protein 1) (High density lipoprotein-binding protein 1),Gpihbp1 Hbp1,Mus musculus (Mouse),228
Hectd1,Q69ZR2,HECD1_MOUSE,reviewed,E3 ubiquitin-protein ligase HECTD1 (EC 2.3.2.26) (HECT domain-containing protein 1) (HECT-type E3 ubiquitin transferase HECTD1) (Protein open mind),Hectd1 Kiaa1131 Opm,Mus musculus (Mouse),2618
Heatr5a,Q5PRF0,HTR5A_MOUSE,reviewed,HEAT repeat-containing protein 5A,Heatr5a Kiaa1316,Mus musculus (Mouse),2038
Eapp,Q5BU09,EAPP_MOUSE,reviewed,E2F-associated phosphoprotein (EAPP),Eapp,Mus musculus (Mouse),281
Ralgapa1,Q6GYP7,RGPA1_MOUSE,reviewed,Ral GTPase-activating protein subunit alpha-1 (GAP-related-interacting partner to E12) (GRIPE) (GTPase-activating RapGAP domain-like 1) (Tuberin-like protein 1) (p240),Ralgapa1 Garnl1 Kiaa0884 Tulip1,Mus musculus (Mouse),2035
Foxa1,P35582,FOXA1_MOUSE,reviewed,Hepatocyte nuclear factor 3-alpha (HNF-3-alpha) (HNF-3A) (Forkhead box protein A1),Foxa1 Hnf3a Tcf-3a Tcf3a,Mus musculus (Mouse),468
Sec23a,Q01405,SC23A_MOUSE,reviewed,Protein transport protein Sec23A (SEC23-related protein A),Sec23a Sec23 Sec23r,Mus musculus (Mouse),765
Klhl28,Q9CR40,KLH28_MOUSE,reviewed,Kelch-like protein 28 (BTB/POZ domain-containing protein 5),Klhl28 Btbd5,Mus musculus (Mouse),571
Tmem30b,Q8BHG3,CC50B_MOUSE,reviewed,Cell cycle control protein 50B (Transmembrane protein 30B),Tmem30b Cdc50b,Mus musculus (Mouse),353
Ppp2r5e,Q61151,2A5E_MOUSE,reviewed,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform (PP2A B subunit isoform B'-epsilon) (PP2A B subunit isoform B56-epsilon) (PP2A B subunit isoform PR61-epsilon) (PP2A B subunit isoform R5-epsilon),Ppp2r5e Kiaa4006,Mus musculus (Mouse),467
Max,P28574,MAX_MOUSE,reviewed,Protein max (Myc-associated factor X) (Myc-binding novel HLH/LZ protein) (Protein myn),Max Myn,Mus musculus (Mouse),160
Atp6v1d,P57746,VATD_MOUSE,reviewed,V-type proton ATPase subunit D (V-ATPase subunit D) (V-ATPase 28 kDa accessory protein) (Vacuolar proton pump subunit D),Atp6v1d Atp6m Vatd,Mus musculus (Mouse),247
Zfp36l1,P23950,TISB_MOUSE,reviewed,"mRNA decay activator protein ZFP36L1 (Butyrate response factor 1) (TPA-induced sequence 11b) (Zinc finger protein 36, C3H1 type-like 1) (ZFP36-like 1)",Zfp36l1 Brf1 Tis11b,Mus musculus (Mouse),338
Map3k9,Q3U1V8,M3K9_MOUSE,reviewed,Mitogen-activated protein kinase kinase kinase 9 (EC 2.7.11.25),Map3k9,Mus musculus (Mouse),1077
Entpd5,Q9WUZ9,ENTP5_MOUSE,reviewed,Ectonucleoside triphosphate diphosphohydrolase 5 (NTPDase 5) (EC 3.6.1.6) (CD39 antigen-like 4) (ER-UDPase) (Guanosine-diphosphatase ENTPD5) (GDPase ENTPD5) (EC 3.6.1.42) (Nucleoside diphosphatase) (Uridine-diphosphatase ENTPD5) (UDPase ENTPD5),Entpd5 Cd39l4,Mus musculus (Mouse),427
Arel1,Q8CHG5,AREL1_MOUSE,reviewed,Apoptosis-resistant E3 ubiquitin protein ligase 1 (EC 2.3.2.26) (Apoptosis-resistant HECT-type E3 ubiquitin transferase 1),Arel1 Kiaa0317,Mus musculus (Mouse),823
Sptlc2,P97363,SPTC2_MOUSE,reviewed,Serine palmitoyltransferase 2 (EC 2.3.1.50) (Long chain base biosynthesis protein 2) (LCB 2) (Long chain base biosynthesis protein 2a) (LCB2a) (Serine-palmitoyl-CoA transferase 2) (SPT 2),Sptlc2 Lcb2,Mus musculus (Mouse),560
Ston2,Q8BZ60,STON2_MOUSE,reviewed,Stonin-2 (Stoned B),Ston2 Stn2 Stnb,Mus musculus (Mouse),895
Foxn3,Q499D0,FOXN3_MOUSE,reviewed,Forkhead box protein N3 (Checkpoint suppressor 1),Foxn3 Ches1,Mus musculus (Mouse),457
Ccdc88c,Q6VGS5,DAPLE_MOUSE,reviewed,Protein Daple (Coiled-coil domain-containing protein 88C) (Dvl-associating protein with a high frequency of leucine residues),Ccdc88c Daple,Mus musculus (Mouse),2009
Itpk1,Q8BYN3,ITPK1_MOUSE,reviewed,"Inositol-tetrakisphosphate 1-kinase (EC 2.7.1.134) (Inositol 1,3,4-trisphosphate 5/6-kinase) (Inositol-triphosphate 5/6-kinase) (Ins(1,3,4)P(3) 5/6-kinase) (EC 2.7.1.159)",Itpk1,Mus musculus (Mouse),419
Dicer1,Q8R418,DICER_MOUSE,reviewed,Endoribonuclease Dicer (EC 3.1.26.3) (Double-strand-specific ribonuclease mDCR-1),Dicer1 Dicer Mdcr,Mus musculus (Mouse),1916
Clmn,Q8C5W0,CLMN_MOUSE,reviewed,Calmin (Calponin-like transmembrane domain protein),Clmn,Mus musculus (Mouse),1052
Degs2,Q8R2F2,DEGS2_MOUSE,reviewed,Sphingolipid delta(4)-desaturase/C4-monooxygenase DES2 (EC 1.14.18.5) (EC 1.14.19.17) (Degenerative spermatocyte homolog 2) (Sphingolipid 4-desaturase) (Sphingolipid C4-monooxygenase),Degs2,Mus musculus (Mouse),323
Wars,P32921,SYWC_MOUSE,reviewed,"Tryptophan--tRNA ligase, cytoplasmic (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase) (TrpRS) [Cleaved into: T1-TrpRS; T2-TrpRS]",Wars1 Wars Wrs,Mus musculus (Mouse),481
Ankrd9,Q8BH83,ANKR9_MOUSE,reviewed,Ankyrin repeat domain-containing protein 9,Ankrd9,Mus musculus (Mouse),326
Akr1c13,Q8VC28,AK1CD_MOUSE,reviewed,Aldo-keto reductase family 1 member C13 (EC 1.1.1.-),Akr1c13,Mus musculus (Mouse),323
Klf6,O08584,KLF6_MOUSE,reviewed,Krueppel-like factor 6 (Core promoter element-binding protein),Klf6 Copeb Cpbp,Mus musculus (Mouse),283
Hist1h1d,P43277,H13_MOUSE,reviewed,Histone H1.3 (H1 VAR.4) (H1d),H1-3 H1f3 Hist1h1d,Mus musculus (Mouse),221
Hist1h1c,P15864,H12_MOUSE,reviewed,Histone H1.2 (H1 VAR.1) (H1c),H1-2 H1f2 Hist1h1c,Mus musculus (Mouse),212
Mboat1,Q8BH98,MBOA1_MOUSE,reviewed,Lysophospholipid acyltransferase 1 (LPLAT 1) (EC 2.3.1.-) (1-acylglycerophosphoethanolamine O-acyltransferase) (EC 2.3.1.n7) (1-acylglycerophosphoserine O-acyltransferase) (EC 2.3.1.n6) (Lysophosphatidylethanolamine acyltransferase) (LPEAT) (Lyso-PE acyltransferase) (Lysophosphatidylserine acyltransferase) (LPSAT) (Lyso-PS acyltransferase) (Membrane-bound O-acyltransferase domain-containing protein 1) (O-acyltransferase domain-containing protein 1),Mboat1 Lpeat1 Oact1,Mus musculus (Mouse),492
Rreb1,Q3UH06,RREB1_MOUSE,reviewed,Ras-responsive element-binding protein 1 (RREB-1) (RAS-responsive zinc finger transcription factor RREB),Rreb1,Mus musculus (Mouse),1700
Dsp,E9Q557,DESP_MOUSE,reviewed,Desmoplakin (DP),Dsp,Mus musculus (Mouse),2883
Gcnt2,P97402,GCNT2_MOUSE,reviewed,"N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase (N-acetylglucosaminyltransferase) (EC 2.4.1.150) (I-branching enzyme) (IGNT) (Large I antigen-forming beta-1,6-N-acetylglucosaminyltransferase)",Gcnt2,Mus musculus (Mouse),401
Tmem14c,Q9CQN6,TM14C_MOUSE,reviewed,Transmembrane protein 14C,Tmem14c,Mus musculus (Mouse),114
Jarid2,Q62315,JARD2_MOUSE,reviewed,Protein Jumonji (Jumonji/ARID domain-containing protein 2),Jarid2 Jmj,Mus musculus (Mouse),1234
Cdhr2,E9Q7P9,CDHR2_MOUSE,reviewed,Cadherin-related family member 2,Cdhr2,Mus musculus (Mouse),1308
Nsd1,O88491,NSD1_MOUSE,reviewed,"Histone-lysine N-methyltransferase, H3 lysine-36 specific (EC 2.1.1.357) (H3-K36-HMTase) (Nuclear receptor-binding SET domain-containing protein 1) (NR-binding SET domain-containing protein)",Nsd1,Mus musculus (Mouse),2588
Slc12a7,Q9WVL3,S12A7_MOUSE,reviewed,Solute carrier family 12 member 7 (Electroneutral potassium-chloride cotransporter 4) (K-Cl cotransporter 4),Slc12a7 Kcc4,Mus musculus (Mouse),1083
Slc9a3,G3X939,SL9A3_MOUSE,reviewed,Sodium/hydrogen exchanger 3,Slc9a3,Mus musculus (Mouse),829
Ell2,Q3UKU1,ELL2_MOUSE,reviewed,RNA polymerase II elongation factor ELL2,Ell2,Mus musculus (Mouse),639
Glrx,Q9QUH0,GLRX1_MOUSE,reviewed,Glutaredoxin-1 (Thioltransferase-1) (TTase-1),Glrx Glrx1 Grx Grx1,Mus musculus (Mouse),107
Arrdc3,Q7TPQ9,ARRD3_MOUSE,reviewed,Arrestin domain-containing protein 3,Arrdc3 Kiaa1376,Mus musculus (Mouse),414
Serinc5,Q8BHJ6,SERC5_MOUSE,reviewed,Serine incorporator 5 (Axotomy-induced glycoprotein 3) (AIGP-3),Serinc5 Aigp3,Mus musculus (Mouse),461
Lhfpl2,Q8BGA2,LHPL2_MOUSE,reviewed,LHFPL tetraspan subfamily member 2 protein (Lipoma HMGIC fusion partner-like 2 protein),Lhfpl2,Mus musculus (Mouse),222
Col4a3bp,Q9EQG9,CERT_MOUSE,reviewed,Ceramide transfer protein (CERT) (Collagen type IV alpha-3-binding protein) (Goodpasture antigen-binding protein) (GPBP) (START domain-containing protein 11) (StARD11) (StAR-related lipid transfer protein 11),Cert1 Cert Col4a3bp Stard11,Mus musculus (Mouse),624
Smim15,Q3UTD9,SIM15_MOUSE,reviewed,Small integral membrane protein 15,Smim15,Mus musculus (Mouse),74
Elovl7,Q9D2Y9,ELOV7_MOUSE,reviewed,Elongation of very long chain fatty acids protein 7 (EC 2.3.1.199) (3-keto acyl-CoA synthase Elovl7) (ELOVL fatty acid elongase 7) (ELOVL FA elongase 7) (Very long chain 3-ketoacyl-CoA synthase 7) (Very long chain 3-oxoacyl-CoA synthase 7),Elovl7,Mus musculus (Mouse),281
Mier3,Q3UHF3,MIER3_MOUSE,reviewed,Mesoderm induction early response protein 3 (Mi-er3),Mier3,Mus musculus (Mouse),551
Paip1,Q8VE62,PAIP1_MOUSE,reviewed,Polyadenylate-binding protein-interacting protein 1 (PABP-interacting protein 1) (PAIP-1) (Poly(A)-binding protein-interacting protein 1),Paip1,Mus musculus (Mouse),400
Hmgcs1,Q8JZK9,HMCS1_MOUSE,reviewed,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic (HMG-CoA synthase) (EC 2.3.3.10) (3-hydroxy-3-methylglutaryl coenzyme A synthase)",Hmgcs1,Mus musculus (Mouse),520
Fam208b,Q5DTT3,TASO2_MOUSE,reviewed,Protein TASOR 2 (Peripheral benzodiazepine receptor-associated protein 20),Tasor2 Fam208b Kiaa2006 Pap20,Mus musculus (Mouse),2382
Net1,Q9Z206,ARHG8_MOUSE,reviewed,Neuroepithelial cell-transforming gene 1 protein (Rho guanine nucleotide exchange factor 8),Net1 Arhgef8,Mus musculus (Mouse),595
Pfkp,Q9WUA3,PFKAP_MOUSE,reviewed,"ATP-dependent 6-phosphofructokinase, platelet type (ATP-PFK) (PFK-P) (EC 2.7.1.11) (6-phosphofructokinase type C) (Phosphofructo-1-kinase isozyme C) (PFK-C) (Phosphohexokinase)",Pfkp Pfkc,Mus musculus (Mouse),784
Wdr37,Q8CBE3,WDR37_MOUSE,reviewed,WD repeat-containing protein 37,Wdr37 Kiaa0982,Mus musculus (Mouse),496
Gpr137b,Q8BNQ3,G137B_MOUSE,reviewed,Integral membrane protein GPR137B (Transmembrane 7 superfamily member 1 protein),Gpr137b Tm7sf1,Mus musculus (Mouse),385
Mrs2,Q5NCE8,MRS2_MOUSE,reviewed,"Magnesium transporter MRS2 homolog, mitochondrial (MRS2-like protein)",Mrs2 Gm902 Mrs2l,Mus musculus (Mouse),434
Uqcrfs1,Q9CR68,UCRI_MOUSE,reviewed,"Cytochrome b-c1 complex subunit Rieske, mitochondrial (EC 7.1.1.8) (Complex III subunit 5) (Cytochrome b-c1 complex subunit 5) (Rieske iron-sulfur protein) (RISP) (Rieske protein UQCRFS1) (Ubiquinol-cytochrome c reductase iron-sulfur subunit) [Cleaved into: Cytochrome b-c1 complex subunit 9 (Su9) (Subunit 9) (8 kDa subunit 9) (Complex III subunit IX) (Cytochrome b-c1 complex subunit 11) (UQCRFS1 mitochondrial targeting sequence) (UQCRFS1 MTS) (Ubiquinol-cytochrome c reductase 8 kDa protein)]",Uqcrfs1,Mus musculus (Mouse),274
Gmds,Q8K0C9,GMDS_MOUSE,reviewed,"GDP-mannose 4,6 dehydratase (EC 4.2.1.47) (GDP-D-mannose dehydratase) (GMD)",Gmds,Mus musculus (Mouse),372
Serpinb1a,Q9D154,ILEUA_MOUSE,reviewed,Leukocyte elastase inhibitor A (Serine protease inhibitor EIA) (Serpin B1a),Serpinb1a Serpinb1,Mus musculus (Mouse),379
Slc22a23,Q3UHH2,S22AN_MOUSE,reviewed,Solute carrier family 22 member 23,Slc22a23,Mus musculus (Mouse),689
Ssr1,Q9CY50,SSRA_MOUSE,reviewed,Translocon-associated protein subunit alpha (TRAP-alpha) (Signal sequence receptor subunit alpha) (SSR-alpha),Ssr1,Mus musculus (Mouse),286
Fam120a,Q6A0A9,F120A_MOUSE,reviewed,Constitutive coactivator of PPAR-gamma-like protein 1 (Oxidative stress-associated Src activator) (Protein FAM120A),FAM120A Kiaa0183 Ossa,Mus musculus (Mouse),1112
Cltb,Q6IRU5,CLCB_MOUSE,reviewed,Clathrin light chain B (Lcb),Cltb,Mus musculus (Mouse),229
H2afy,Q9QZQ8,H2AY_MOUSE,reviewed,Core histone macro-H2A.1 (Histone macroH2A1) (mH2A1) (H2A.y) (H2A/y),Macroh2a1 H2afy,Mus musculus (Mouse),372
Ubqln1,Q8R317,UBQL1_MOUSE,reviewed,Ubiquilin-1 (Protein linking IAP with cytoskeleton 1) (PLIC-1),Ubqln1 Plic1,Mus musculus (Mouse),582
Golm1,Q91XA2,GOLM1_MOUSE,reviewed,Golgi membrane protein 1 (Golgi membrane protein GP73) (Golgi phosphoprotein 2),Golm1 Golph2,Mus musculus (Mouse),393
Fbp2,P70695,F16P2_MOUSE,reviewed,"Fructose-1,6-bisphosphatase isozyme 2 (FBPase 2) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase 2) (Muscle FBPase) (RAE-30)",Fbp2,Mus musculus (Mouse),339
Fbp2,Q05685,FOLR2_MOUSE,reviewed,Folate receptor beta (FR-beta) (Folate receptor 2) (Folate-binding protein 2),Folr2 Fbp2 Folbp2,Mus musculus (Mouse),251
Slc35d2,Q762D5,S35D2_MOUSE,reviewed,UDP-N-acetylglucosamine/UDP-glucose/GDP-mannose transporter (Solute carrier family 35 member D2) (UDP-galactose transporter-related protein 8) (UGTrel8),Slc35d2 Ugtrel8,Mus musculus (Mouse),326
Ctsl,P06797,CATL1_MOUSE,reviewed,Cathepsin L1 (EC 3.4.22.15) (Cathepsin L) (Major excreted protein) (MEP) (p39 cysteine proteinase) [Cleaved into: Cathepsin L1 heavy chain; Cathepsin L1 light chain],Ctsl Ctsl1,Mus musculus (Mouse),334
Sdha,Q8K2B3,SDHA_MOUSE,reviewed,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial (EC 1.3.5.1) (Flavoprotein subunit of complex II) (Fp)",Sdha,Mus musculus (Mouse),664
F2rl1,P55086,PAR2_MOUSE,reviewed,Proteinase-activated receptor 2 (PAR-2) (Coagulation factor II receptor-like 1) (G-protein coupled receptor 11) (Thrombin receptor-like 1),F2rl1 Gpcr11 Gpr11 Par2,Mus musculus (Mouse),399
Iqgap2,Q3UQ44,IQGA2_MOUSE,reviewed,Ras GTPase-activating-like protein IQGAP2,Iqgap2,Mus musculus (Mouse),1575
Hmgcr,Q01237,HMDH_MOUSE,reviewed,3-hydroxy-3-methylglutaryl-coenzyme A reductase (HMG-CoA reductase) (EC 1.1.1.34),Hmgcr,Mus musculus (Mouse),887
Tmem171,Q4KL18,TM171_MOUSE,reviewed,Transmembrane protein 171,Tmem171 Gm905,Mus musculus (Mouse),322
Fcho2,Q3UQN2,FCHO2_MOUSE,reviewed,F-BAR domain only protein 2,Fcho2,Mus musculus (Mouse),809
Tnpo1,Q8BFY9,TNPO1_MOUSE,reviewed,Transportin-1 (Importin beta-2) (Karyopherin beta-2),Tnpo1 Kpnb2,Mus musculus (Mouse),898
Ptcd2,Q8R3K3,PTCD2_MOUSE,reviewed,"Pentatricopeptide repeat-containing protein 2, mitochondrial",Ptcd2,Mus musculus (Mouse),381
Bdp1,Q571C7,BDP1_MOUSE,reviewed,Transcription factor TFIIIB component B'' homolog (Transcription factor IIIB 150) (TFIIIB150) (Transcription factor-like nuclear regulator),Bdp1 Kiaa1241 Tfnr,Mus musculus (Mouse),2467
Naip1,Q9QWK5,BIR1A_MOUSE,reviewed,Baculoviral IAP repeat-containing protein 1a (Neuronal apoptosis inhibitory protein 1),Naip1 Birc1a Naip,Mus musculus (Mouse),1403
Ocln,Q61146,OCLN_MOUSE,reviewed,Occludin,Ocln Ocl,Mus musculus (Mouse),521
Marveld2,Q3UZP0,MALD2_MOUSE,reviewed,MARVEL domain-containing protein 2 (Tricellulin),Marveld2 Mrvldc2 Tric,Mus musculus (Mouse),555
Pik3r1,P26450,P85A_MOUSE,reviewed,Phosphatidylinositol 3-kinase regulatory subunit alpha (PI3-kinase regulatory subunit alpha) (PI3K regulatory subunit alpha) (PtdIns-3-kinase regulatory subunit alpha) (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit alpha) (PI3-kinase subunit p85-alpha) (PtdIns-3-kinase regulatory subunit p85-alpha),Pik3r1,Mus musculus (Mouse),724
Mast4,Q811L6,MAST4_MOUSE,reviewed,Microtubule-associated serine/threonine-protein kinase 4 (EC 2.7.11.1),Mast4,Mus musculus (Mouse),2618
Erbb2ip,Q80TH2,ERBIN_MOUSE,reviewed,Erbin (Densin-180-like protein) (Erbb2-interacting protein) (Protein LAP2),Erbin Erbb2ip Kiaa1225 Lap2,Mus musculus (Mouse),1402
Itga2,Q62469,ITA2_MOUSE,reviewed,Integrin alpha-2 (CD49 antigen-like family member B) (Collagen receptor) (Platelet membrane glycoprotein Ia) (GPIa) (VLA-2 subunit alpha) (CD antigen CD49b),Itga2,Mus musculus (Mouse),1178
Flnb,Q80X90,FLNB_MOUSE,reviewed,Filamin-B (FLN-B) (ABP-280-like protein) (Actin-binding-like protein) (Beta-filamin),Flnb,Mus musculus (Mouse),2602
Slc4a7,Q8BTY2,S4A7_MOUSE,reviewed,Sodium bicarbonate cotransporter 3 (Solute carrier family 4 member 7),Slc4a7 Nbc3,Mus musculus (Mouse),1034
Top2b,Q64511,TOP2B_MOUSE,reviewed,"DNA topoisomerase 2-beta (EC 5.6.2.2) (DNA topoisomerase II, beta isozyme)",Top2b,Mus musculus (Mouse),1612
Adk,P55264,ADK_MOUSE,reviewed,Adenosine kinase (AK) (EC 2.7.1.20) (Adenosine 5'-phosphotransferase),Adk,Mus musculus (Mouse),361
Ppif,Q99KR7,PPIF_MOUSE,reviewed,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial (PPIase F) (EC 5.2.1.8) (Cyclophilin D) (CyP-D) (CypD) (Cyclophilin F) (Rotamase F)",Ppif,Mus musculus (Mouse),206
Anxa11,P97384,ANX11_MOUSE,reviewed,Annexin A11 (Annexin XI) (Annexin-11) (Calcyclin-associated annexin 50) (CAP-50),Anxa11 Anx11,Mus musculus (Mouse),503
Arf4,P61750,ARF4_MOUSE,reviewed,ADP-ribosylation factor 4,Arf4,Mus musculus (Mouse),180
Fam208a,Q69ZR9,TASOR_MOUSE,reviewed,Protein TASOR (Transgene activation suppressor protein),Tasor D14Abb1e Fam208a Kiaa1105,Mus musculus (Mouse),1610
Chdh,Q8BJ64,CHDH_MOUSE,reviewed,"Choline dehydrogenase, mitochondrial (CDH) (CHD) (EC 1.1.99.1)",Chdh,Mus musculus (Mouse),596
